Technological Complexity,Staff Expertise,Project Size,Requirements Quality,Stakeholder Management,Market Conditions,Project Management Quality,Project Success
Low,Novice,Very Small,Below Average,Below Average,Favorable,Very Poor,Failure
High,Novice,Small,Good,Below Average,Unfavorable,Very Poor,Failure
Very High,Novice,Very Large,Below Average,Poor,Favorable,Average,Success
High,Expert,Large,Good,Below Average,Very Unfavorable,Good,Failure
Very Low,Intermediate,Small,Poor,Below Average,Very Favorable,Good,Success
Low,Intermediate,Very Small,Average,Excellent,Favorable,Good,Success
Very High,Beginner,Large,Poor,Excellent,Very Favorable,Good,Success
Medium,Expert,Small,Below Average,Excellent,Unfavorable,Poor,Success
Low,Intermediate,Medium,Below Average,Poor,Neutral,Average,Failure
Very High,Advanced,Large,Average,Below Average,Very Unfavorable,Excellent,Failure
Low,Beginner,Very Large,Excellent,Good,Unfavorable,Average,Failure
Very Low,Intermediate,Very Large,Poor,Below Average,Very Favorable,Very Poor,Success
Medium,Advanced,Large,Below Average,Excellent,Favorable,Good,Success
High,Beginner,Large,Excellent,Below Average,Very Favorable,Average,Success
High,Novice,Very Small,Excellent,Excellent,Favorable,Good,Success
High,Novice,Very Small,Poor,Below Average,Very Favorable,Good,Success
Very High,Advanced,Very Small,Below Average,Poor,Very Unfavorable,Poor,Failure
Low,Novice,Large,Excellent,Average,Neutral,Poor,Failure
Medium,Advanced,Very Large,Below Average,Average,Favorable,Good,Success
Medium,Beginner,Medium,Excellent,Below Average,Unfavorable,Average,Failure
Very High,Intermediate,Very Large,Poor,Good,Neutral,Excellent,Success
Medium,Beginner,Very Small,Poor,Below Average,Very Unfavorable,Poor,Failure
Medium,Advanced,Small,Below Average,Below Average,Favorable,Excellent,Success
Low,Expert,Very Large,Poor,Average,Very Favorable,Excellent,Failure
Low,Expert,Very Small,Good,Below Average,Very Favorable,Good,Failure
Low,Advanced,Large,Poor,Below Average,Neutral,Poor,Failure
Very High,Novice,Medium,Average,Excellent,Very Favorable,Good,Success
Very High,Advanced,Small,Poor,Below Average,Neutral,Poor,Failure
Very High,Intermediate,Very Large,Below Average,Excellent,Neutral,Very Poor,Failure
Medium,Beginner,Very Small,Excellent,Poor,Unfavorable,Average,Failure
High,Advanced,Very Large,Good,Good,Unfavorable,Very Poor,Failure
Medium,Intermediate,Medium,Below Average,Below Average,Unfavorable,Average,Failure
Low,Expert,Small,Below Average,Excellent,Very Favorable,Average,Success
High,Advanced,Very Large,Excellent,Excellent,Favorable,Average,Success
Very Low,Novice,Medium,Excellent,Below Average,Favorable,Poor,Failure
High,Advanced,Small,Average,Average,Unfavorable,Poor,Failure
Low,Expert,Very Large,Below Average,Average,Unfavorable,Average,Failure
Low,Intermediate,Very Small,Good,Below Average,Favorable,Very Poor,Failure
Low,Advanced,Medium,Average,Below Average,Unfavorable,Excellent,Failure
Low,Advanced,Very Small,Average,Average,Neutral,Average,Failure
Very Low,Novice,Medium,Good,Below Average,Very Unfavorable,Excellent,Failure
High,Advanced,Very Small,Excellent,Below Average,Neutral,Very Poor,Failure
Very Low,Beginner,Very Small,Excellent,Average,Favorable,Excellent,Success
Medium,Advanced,Very Large,Below Average,Excellent,Unfavorable,Poor,Failure
High,Intermediate,Very Large,Average,Poor,Very Unfavorable,Very Poor,Failure
Medium,Beginner,Very Small,Good,Below Average,Unfavorable,Poor,Failure
Medium,Novice,Medium,Good,Average,Neutral,Excellent,Success
Medium,Intermediate,Very Large,Good,Below Average,Unfavorable,Good,Failure
Low,Novice,Very Large,Average,Below Average,Neutral,Very Poor,Failure
High,Advanced,Very Small,Poor,Excellent,Very Unfavorable,Good,Success
Very High,Advanced,Medium,Poor,Poor,Very Favorable,Average,Success
High,Advanced,Very Small,Below Average,Below Average,Very Favorable,Good,Success
Low,Expert,Large,Average,Poor,Very Unfavorable,Poor,Failure
High,Expert,Very Small,Average,Average,Unfavorable,Poor,Failure
Low,Expert,Medium,Poor,Average,Very Favorable,Excellent,Success
High,Beginner,Very Large,Excellent,Good,Neutral,Excellent,Failure
High,Expert,Very Large,Poor,Excellent,Very Favorable,Average,Success
Medium,Advanced,Small,Average,Average,Neutral,Poor,Failure
Very Low,Advanced,Very Small,Good,Below Average,Very Unfavorable,Very Poor,Failure
High,Novice,Very Large,Average,Below Average,Very Favorable,Average,Failure
Very High,Intermediate,Large,Below Average,Average,Very Unfavorable,Good,Failure
Very Low,Intermediate,Very Large,Poor,Good,Favorable,Very Poor,Failure
Very High,Beginner,Large,Below Average,Excellent,Very Unfavorable,Average,Failure
High,Intermediate,Very Large,Poor,Good,Very Favorable,Good,Success
Low,Beginner,Very Large,Poor,Poor,Neutral,Very Poor,Failure
High,Novice,Medium,Below Average,Excellent,Very Unfavorable,Excellent,Success
Medium,Advanced,Very Large,Below Average,Excellent,Very Favorable,Poor,Success
Low,Advanced,Large,Good,Below Average,Unfavorable,Good,Failure
Very High,Beginner,Medium,Below Average,Excellent,Neutral,Poor,Success
High,Expert,Very Large,Excellent,Excellent,Unfavorable,Good,Success
High,Novice,Medium,Average,Below Average,Unfavorable,Poor,Failure
Low,Advanced,Very Large,Good,Excellent,Favorable,Good,Success
High,Advanced,Small,Poor,Good,Very Unfavorable,Poor,Success
Very Low,Novice,Medium,Excellent,Excellent,Unfavorable,Excellent,Success
Very High,Beginner,Large,Below Average,Average,Neutral,Poor,Failure
High,Expert,Small,Below Average,Excellent,Unfavorable,Good,Success
High,Beginner,Very Large,Excellent,Excellent,Favorable,Poor,Failure
Low,Novice,Very Large,Average,Poor,Very Favorable,Poor,Failure
Medium,Intermediate,Small,Excellent,Poor,Neutral,Average,Failure
Very High,Beginner,Very Small,Poor,Good,Neutral,Good,Failure
Very Low,Intermediate,Small,Excellent,Poor,Very Favorable,Poor,Failure
Very Low,Novice,Large,Good,Good,Favorable,Good,Success
Low,Intermediate,Very Large,Excellent,Poor,Favorable,Average,Success
Very Low,Advanced,Medium,Excellent,Poor,Very Unfavorable,Good,Success
Medium,Intermediate,Very Small,Poor,Below Average,Neutral,Good,Failure
High,Expert,Medium,Poor,Good,Very Unfavorable,Good,Failure
Very High,Expert,Small,Average,Excellent,Unfavorable,Very Poor,Failure
High,Novice,Very Large,Poor,Poor,Very Unfavorable,Poor,Failure
Low,Expert,Large,Poor,Good,Very Unfavorable,Very Poor,Failure
High,Intermediate,Small,Poor,Excellent,Very Favorable,Poor,Failure
Medium,Advanced,Small,Excellent,Poor,Very Unfavorable,Poor,Failure
Very Low,Novice,Medium,Excellent,Average,Unfavorable,Average,Failure
Very High,Beginner,Medium,Poor,Excellent,Very Unfavorable,Very Poor,Failure
Medium,Advanced,Very Large,Below Average,Poor,Favorable,Very Poor,Failure
Low,Beginner,Medium,Poor,Poor,Very Unfavorable,Excellent,Failure
Very High,Novice,Very Small,Poor,Excellent,Very Favorable,Average,Failure
High,Beginner,Very Large,Average,Good,Very Favorable,Poor,Failure
Low,Advanced,Large,Poor,Below Average,Very Favorable,Poor,Failure
High,Expert,Very Small,Poor,Poor,Very Unfavorable,Excellent,Failure
Medium,Novice,Small,Average,Good,Unfavorable,Poor,Success
Medium,Expert,Medium,Poor,Average,Neutral,Very Poor,Failure
Low,Expert,Large,Poor,Excellent,Very Favorable,Excellent,Success
Very Low,Expert,Very Large,Good,Good,Very Unfavorable,Excellent,Success
Low,Advanced,Medium,Average,Good,Neutral,Poor,Success
Very Low,Intermediate,Very Small,Average,Good,Favorable,Poor,Success
Low,Expert,Small,Good,Below Average,Favorable,Excellent,Success
Low,Intermediate,Small,Average,Below Average,Very Favorable,Very Poor,Failure
Very High,Novice,Medium,Below Average,Average,Very Favorable,Poor,Failure
Very Low,Beginner,Very Large,Excellent,Poor,Favorable,Poor,Failure
Very Low,Expert,Very Large,Excellent,Below Average,Very Favorable,Excellent,Success
Medium,Intermediate,Medium,Average,Below Average,Favorable,Average,Success
High,Novice,Medium,Excellent,Below Average,Very Unfavorable,Very Poor,Failure
Medium,Advanced,Medium,Poor,Below Average,Neutral,Poor,Success
Very Low,Novice,Large,Poor,Average,Very Unfavorable,Poor,Failure
Very High,Advanced,Medium,Below Average,Good,Favorable,Average,Success
Very Low,Beginner,Large,Good,Excellent,Very Unfavorable,Poor,Failure
High,Beginner,Very Small,Excellent,Excellent,Favorable,Good,Success
High,Intermediate,Medium,Below Average,Good,Very Unfavorable,Excellent,Success
Low,Advanced,Medium,Excellent,Poor,Neutral,Poor,Failure
Very High,Advanced,Very Large,Poor,Average,Favorable,Good,Success
Medium,Beginner,Medium,Below Average,Average,Very Favorable,Poor,Success
Very High,Novice,Large,Below Average,Below Average,Very Favorable,Excellent,Success
Low,Novice,Large,Good,Good,Very Favorable,Good,Success
Very Low,Intermediate,Medium,Poor,Below Average,Favorable,Good,Failure
High,Beginner,Large,Below Average,Excellent,Very Favorable,Excellent,Success
Very Low,Beginner,Medium,Poor,Excellent,Unfavorable,Average,Failure
Very Low,Expert,Very Small,Poor,Good,Neutral,Average,Failure
Low,Intermediate,Large,Average,Excellent,Unfavorable,Excellent,Failure
Medium,Beginner,Large,Average,Average,Favorable,Poor,Failure
Very Low,Expert,Large,Good,Below Average,Favorable,Very Poor,Failure
High,Advanced,Large,Poor,Average,Neutral,Poor,Failure
High,Expert,Medium,Average,Good,Very Unfavorable,Good,Failure
Medium,Beginner,Medium,Excellent,Good,Neutral,Very Poor,Failure
Medium,Novice,Very Small,Poor,Excellent,Unfavorable,Good,Success
Low,Intermediate,Medium,Below Average,Poor,Unfavorable,Good,Failure
Very High,Advanced,Large,Poor,Poor,Unfavorable,Excellent,Success
High,Novice,Very Small,Below Average,Good,Unfavorable,Average,Failure
Very Low,Intermediate,Small,Good,Average,Very Unfavorable,Average,Failure
Low,Advanced,Very Large,Average,Below Average,Favorable,Average,Success
Medium,Advanced,Very Small,Excellent,Poor,Favorable,Average,Success
Very Low,Beginner,Very Large,Average,Poor,Neutral,Very Poor,Failure
Very High,Expert,Large,Below Average,Average,Favorable,Average,Success
Medium,Novice,Small,Good,Good,Favorable,Excellent,Success
Very High,Expert,Very Large,Below Average,Excellent,Favorable,Poor,Failure
Very High,Beginner,Very Small,Good,Average,Very Unfavorable,Good,Failure
High,Beginner,Medium,Good,Good,Very Unfavorable,Poor,Failure
High,Novice,Very Large,Excellent,Below Average,Favorable,Very Poor,Failure
Very High,Advanced,Medium,Excellent,Good,Unfavorable,Excellent,Success
High,Intermediate,Very Large,Average,Excellent,Favorable,Good,Success
Medium,Advanced,Large,Excellent,Good,Neutral,Very Poor,Failure
Very High,Expert,Medium,Below Average,Good,Very Favorable,Excellent,Success
Very High,Novice,Small,Below Average,Average,Neutral,Good,Failure
Low,Beginner,Very Small,Good,Excellent,Very Favorable,Average,Success
Low,Advanced,Small,Average,Excellent,Very Unfavorable,Good,Success
Low,Novice,Very Large,Average,Poor,Very Unfavorable,Very Poor,Failure
Low,Intermediate,Very Large,Average,Poor,Favorable,Very Poor,Failure
Very Low,Beginner,Small,Good,Below Average,Very Favorable,Good,Success
Low,Advanced,Very Large,Excellent,Below Average,Very Unfavorable,Excellent,Failure
Medium,Beginner,Large,Poor,Excellent,Very Unfavorable,Excellent,Success
Very Low,Expert,Very Small,Below Average,Good,Favorable,Average,Success
Medium,Intermediate,Large,Good,Poor,Very Unfavorable,Very Poor,Failure
Low,Intermediate,Medium,Below Average,Below Average,Very Favorable,Average,Success
Very High,Intermediate,Very Small,Excellent,Excellent,Neutral,Average,Failure
Very Low,Expert,Very Small,Excellent,Good,Very Unfavorable,Excellent,Success
Very High,Advanced,Very Large,Good,Average,Unfavorable,Average,Failure
Medium,Advanced,Medium,Good,Good,Very Unfavorable,Poor,Success
Medium,Advanced,Small,Poor,Poor,Neutral,Average,Failure
Very Low,Advanced,Medium,Average,Good,Favorable,Average,Failure
Medium,Advanced,Small,Poor,Poor,Favorable,Very Poor,Failure
Very Low,Novice,Medium,Good,Average,Neutral,Good,Failure
Medium,Expert,Medium,Poor,Good,Favorable,Average,Success
Very High,Intermediate,Small,Below Average,Average,Very Unfavorable,Average,Failure
High,Advanced,Large,Excellent,Poor,Very Favorable,Good,Success
Low,Advanced,Very Large,Excellent,Poor,Very Unfavorable,Very Poor,Failure
Low,Intermediate,Very Large,Poor,Poor,Very Favorable,Very Poor,Failure
High,Intermediate,Very Large,Average,Excellent,Unfavorable,Poor,Failure
High,Novice,Small,Good,Poor,Neutral,Excellent,Failure
Very Low,Expert,Very Large,Excellent,Below Average,Neutral,Very Poor,Failure
Medium,Beginner,Very Small,Poor,Good,Very Unfavorable,Very Poor,Failure
Very High,Novice,Medium,Good,Excellent,Favorable,Poor,Failure
Low,Beginner,Small,Excellent,Average,Neutral,Good,Failure
High,Novice,Small,Poor,Average,Very Favorable,Very Poor,Failure
High,Expert,Very Small,Good,Below Average,Favorable,Very Poor,Failure
High,Expert,Medium,Average,Good,Very Favorable,Average,Success
Medium,Beginner,Very Large,Poor,Below Average,Neutral,Excellent,Failure
Very High,Advanced,Small,Poor,Good,Very Favorable,Good,Success
High,Advanced,Small,Poor,Average,Unfavorable,Average,Failure
Very High,Advanced,Small,Excellent,Below Average,Very Favorable,Excellent,Success
Low,Beginner,Small,Average,Average,Very Unfavorable,Good,Failure
Very Low,Advanced,Small,Average,Good,Unfavorable,Excellent,Success
Very Low,Intermediate,Small,Poor,Below Average,Very Unfavorable,Good,Failure
Low,Intermediate,Very Small,Poor,Below Average,Very Favorable,Very Poor,Failure
Very Low,Expert,Small,Average,Excellent,Favorable,Good,Success
High,Beginner,Large,Good,Excellent,Very Unfavorable,Poor,Failure
Medium,Advanced,Medium,Poor,Good,Favorable,Average,Success
Very Low,Intermediate,Medium,Average,Good,Unfavorable,Poor,Failure
Low,Advanced,Very Large,Excellent,Below Average,Very Favorable,Excellent,Success
Medium,Novice,Small,Average,Excellent,Favorable,Excellent,Success
Low,Advanced,Small,Good,Good,Very Unfavorable,Poor,Failure
High,Expert,Very Small,Poor,Below Average,Neutral,Good,Failure
Low,Novice,Large,Average,Good,Unfavorable,Average,Failure
High,Beginner,Medium,Below Average,Poor,Unfavorable,Very Poor,Failure
Very Low,Advanced,Medium,Poor,Excellent,Favorable,Average,Success
Medium,Advanced,Very Large,Poor,Good,Unfavorable,Average,Failure
Very High,Novice,Small,Below Average,Average,Very Favorable,Good,Success
Medium,Expert,Very Small,Poor,Below Average,Unfavorable,Excellent,Failure
Very High,Expert,Very Large,Excellent,Below Average,Very Favorable,Good,Success
Very Low,Expert,Very Large,Excellent,Excellent,Unfavorable,Good,Success
Low,Beginner,Very Large,Good,Excellent,Very Favorable,Very Poor,Failure
High,Novice,Very Small,Good,Below Average,Very Unfavorable,Excellent,Failure
High,Intermediate,Very Small,Average,Good,Very Unfavorable,Excellent,Success
High,Beginner,Small,Average,Excellent,Unfavorable,Very Poor,Failure
Very Low,Expert,Very Small,Excellent,Excellent,Unfavorable,Average,Failure
Very Low,Expert,Very Large,Poor,Below Average,Unfavorable,Excellent,Failure
Very High,Advanced,Small,Below Average,Below Average,Very Favorable,Poor,Failure
Medium,Beginner,Very Large,Excellent,Good,Neutral,Poor,Failure
Medium,Novice,Very Large,Good,Below Average,Unfavorable,Poor,Failure
Low,Expert,Medium,Good,Poor,Unfavorable,Average,Failure
Very High,Intermediate,Very Small,Good,Good,Favorable,Poor,Failure
Very Low,Advanced,Medium,Below Average,Average,Unfavorable,Very Poor,Failure
Very Low,Novice,Medium,Good,Good,Neutral,Excellent,Success
High,Novice,Very Large,Good,Poor,Very Unfavorable,Very Poor,Failure
Very High,Novice,Very Small,Average,Average,Favorable,Excellent,Success
Very High,Advanced,Very Large,Poor,Good,Favorable,Very Poor,Failure
Very Low,Intermediate,Large,Poor,Below Average,Favorable,Very Poor,Failure
Very High,Expert,Very Large,Below Average,Average,Very Unfavorable,Good,Failure
High,Advanced,Very Large,Good,Excellent,Very Favorable,Average,Success
High,Advanced,Very Small,Average,Below Average,Very Favorable,Very Poor,Failure
Very Low,Intermediate,Very Large,Poor,Good,Very Unfavorable,Average,Failure
Very Low,Novice,Very Large,Below Average,Below Average,Favorable,Average,Success
Very High,Expert,Medium,Average,Below Average,Neutral,Good,Failure
Very High,Beginner,Very Large,Good,Below Average,Very Unfavorable,Very Poor,Failure
Medium,Novice,Very Small,Below Average,Excellent,Favorable,Very Poor,Success
Very High,Novice,Medium,Average,Below Average,Favorable,Poor,Failure
Very High,Intermediate,Small,Poor,Excellent,Unfavorable,Average,Failure
Low,Beginner,Small,Excellent,Good,Very Unfavorable,Good,Success
Very Low,Expert,Very Large,Poor,Poor,Very Favorable,Average,Success
Very High,Expert,Medium,Excellent,Excellent,Favorable,Very Poor,Failure
Low,Expert,Large,Below Average,Below Average,Very Favorable,Poor,Failure
Very High,Intermediate,Small,Average,Excellent,Very Favorable,Very Poor,Failure
Very Low,Beginner,Medium,Average,Average,Unfavorable,Excellent,Failure
Medium,Beginner,Small,Average,Good,Unfavorable,Poor,Failure
High,Novice,Medium,Good,Below Average,Very Unfavorable,Good,Failure
Very Low,Advanced,Very Large,Poor,Average,Very Unfavorable,Good,Failure
Very Low,Beginner,Medium,Excellent,Average,Favorable,Average,Success
Low,Expert,Medium,Good,Excellent,Neutral,Average,Failure
Low,Expert,Very Small,Below Average,Average,Favorable,Poor,Failure
Low,Advanced,Very Large,Below Average,Below Average,Very Favorable,Very Poor,Failure
Medium,Advanced,Large,Good,Average,Very Unfavorable,Poor,Failure
Low,Novice,Small,Excellent,Average,Very Unfavorable,Excellent,Failure
Very Low,Novice,Medium,Below Average,Excellent,Very Unfavorable,Poor,Success
Low,Intermediate,Medium,Poor,Below Average,Very Unfavorable,Poor,Failure
Very High,Expert,Very Large,Below Average,Poor,Neutral,Excellent,Failure
Very High,Intermediate,Very Small,Excellent,Good,Favorable,Very Poor,Success
High,Expert,Small,Poor,Poor,Very Unfavorable,Excellent,Failure
Very High,Intermediate,Large,Good,Poor,Neutral,Poor,Failure
High,Novice,Medium,Excellent,Below Average,Unfavorable,Average,Failure
Very High,Beginner,Very Small,Poor,Below Average,Neutral,Good,Failure
Medium,Advanced,Small,Poor,Average,Very Unfavorable,Very Poor,Failure
High,Expert,Small,Poor,Good,Very Unfavorable,Very Poor,Failure
Very High,Novice,Large,Excellent,Excellent,Neutral,Excellent,Success
High,Novice,Very Large,Average,Below Average,Very Unfavorable,Average,Failure
High,Novice,Small,Below Average,Below Average,Very Unfavorable,Poor,Failure
Very High,Intermediate,Small,Average,Average,Neutral,Average,Success
Very Low,Advanced,Large,Below Average,Good,Favorable,Excellent,Success
Low,Novice,Medium,Excellent,Excellent,Very Favorable,Very Poor,Success
High,Intermediate,Very Large,Below Average,Good,Favorable,Poor,Failure
High,Novice,Large,Excellent,Good,Neutral,Excellent,Success
High,Intermediate,Medium,Poor,Average,Very Unfavorable,Good,Failure
Low,Beginner,Large,Good,Poor,Favorable,Good,Success
High,Intermediate,Large,Average,Below Average,Neutral,Good,Failure
High,Expert,Large,Average,Poor,Neutral,Very Poor,Success
Very High,Advanced,Very Small,Excellent,Poor,Unfavorable,Very Poor,Failure
Very Low,Intermediate,Large,Below Average,Poor,Very Unfavorable,Average,Failure
Medium,Advanced,Medium,Below Average,Average,Unfavorable,Average,Success
Medium,Intermediate,Medium,Good,Excellent,Very Favorable,Good,Success
Low,Advanced,Small,Poor,Good,Neutral,Excellent,Success
Medium,Beginner,Very Small,Below Average,Poor,Neutral,Good,Failure
Very Low,Expert,Medium,Below Average,Excellent,Very Unfavorable,Poor,Failure
Medium,Expert,Very Small,Poor,Average,Unfavorable,Poor,Failure
Very Low,Expert,Small,Good,Excellent,Unfavorable,Good,Success
Very Low,Intermediate,Very Small,Below Average,Average,Very Unfavorable,Excellent,Failure
Very High,Expert,Medium,Excellent,Good,Unfavorable,Average,Failure
Medium,Novice,Very Large,Poor,Below Average,Very Unfavorable,Good,Failure
High,Novice,Very Small,Below Average,Below Average,Unfavorable,Excellent,Failure
Low,Expert,Very Small,Good,Good,Very Unfavorable,Excellent,Success
High,Expert,Very Large,Average,Average,Very Favorable,Poor,Failure
Medium,Intermediate,Large,Excellent,Below Average,Very Unfavorable,Average,Failure
Medium,Expert,Very Large,Excellent,Poor,Very Unfavorable,Excellent,Success
High,Advanced,Large,Excellent,Average,Unfavorable,Good,Failure
Very High,Beginner,Very Large,Excellent,Below Average,Unfavorable,Excellent,Failure
Medium,Intermediate,Very Small,Average,Below Average,Very Unfavorable,Good,Failure
Very High,Intermediate,Large,Average,Poor,Very Unfavorable,Excellent,Failure
Low,Novice,Large,Average,Good,Unfavorable,Poor,Failure
Medium,Intermediate,Very Large,Average,Below Average,Neutral,Average,Failure
High,Intermediate,Very Small,Good,Poor,Favorable,Excellent,Success
Very High,Beginner,Very Small,Below Average,Excellent,Very Favorable,Excellent,Success
Low,Advanced,Very Small,Average,Good,Very Unfavorable,Poor,Failure
Very Low,Beginner,Large,Average,Average,Unfavorable,Excellent,Failure
Low,Advanced,Large,Good,Good,Favorable,Very Poor,Success
Very High,Novice,Large,Poor,Below Average,Very Unfavorable,Very Poor,Failure
Medium,Beginner,Very Small,Good,Below Average,Unfavorable,Good,Failure
Medium,Beginner,Small,Poor,Poor,Unfavorable,Excellent,Failure
Very Low,Beginner,Small,Excellent,Below Average,Neutral,Good,Failure
Very High,Expert,Large,Good,Good,Very Unfavorable,Excellent,Success
Medium,Expert,Large,Excellent,Poor,Favorable,Poor,Failure
Medium,Beginner,Very Small,Poor,Excellent,Very Favorable,Average,Success
Very High,Intermediate,Very Small,Good,Excellent,Neutral,Average,Failure
Low,Novice,Small,Poor,Excellent,Very Favorable,Good,Success
High,Intermediate,Small,Poor,Poor,Very Unfavorable,Very Poor,Failure
Low,Novice,Very Large,Excellent,Good,Favorable,Excellent,Success
Very High,Novice,Very Small,Poor,Poor,Favorable,Average,Success
Low,Expert,Medium,Below Average,Average,Favorable,Good,Success
Medium,Novice,Very Large,Average,Poor,Unfavorable,Excellent,Failure
Very High,Beginner,Very Small,Good,Below Average,Favorable,Poor,Failure
Medium,Beginner,Medium,Excellent,Excellent,Unfavorable,Good,Success
Medium,Novice,Medium,Average,Poor,Favorable,Very Poor,Failure
Medium,Expert,Large,Excellent,Average,Very Favorable,Excellent,Success
Low,Intermediate,Large,Below Average,Below Average,Very Favorable,Excellent,Failure
High,Expert,Medium,Average,Good,Favorable,Average,Success
Very Low,Expert,Medium,Good,Poor,Favorable,Average,Success
High,Intermediate,Very Large,Poor,Excellent,Unfavorable,Good,Failure
Very Low,Beginner,Medium,Poor,Below Average,Unfavorable,Very Poor,Failure
Very High,Advanced,Large,Average,Poor,Unfavorable,Average,Failure
High,Expert,Large,Excellent,Below Average,Very Unfavorable,Excellent,Failure
Very Low,Beginner,Large,Good,Below Average,Unfavorable,Good,Failure
Medium,Novice,Small,Poor,Below Average,Unfavorable,Good,Failure
Very High,Expert,Very Large,Average,Average,Very Unfavorable,Very Poor,Failure
High,Expert,Very Large,Average,Poor,Favorable,Average,Success
Low,Novice,Very Large,Below Average,Below Average,Neutral,Average,Success
